date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2026-01-24,-0.228,margina_holdea_t1,-12.57
2026-01-25,-0.267,margina_holdea_t1,-12.83
2026-01-26,-0.177,margina_holdea_t1,-13.01
2026-01-27,-0.269,margina_holdea_t1,-13.28
2026-01-28,-0.293,margina_holdea_t1,-13.57
2026-01-29,-0.256,margina_holdea_t1,-13.83
2026-01-30,-0.288,margina_holdea_t1,-14.12
2026-01-31,-0.248,margina_holdea_t1,-14.36
2026-02-01,-0.251,margina_holdea_t1,-14.62
2026-02-02,-0.124,margina_holdea_t1,-14.74
2026-02-03,-0.11,margina_holdea_t1,-14.85
2026-02-04,-0.226,margina_holdea_t1,-15.08
2026-02-05,-0.111,margina_holdea_t1,-15.19
2026-02-06,-0.253,margina_holdea_t1,-15.44
2026-02-07,-0.143,margina_holdea_t1,-15.58
2026-02-08,-0.155,margina_holdea_t1,-15.74
2026-02-09,-0.183,margina_holdea_t1,-15.92
2026-02-10,-0.167,margina_holdea_t1,-16.09
2026-02-11,-0.269,margina_holdea_t1,-16.36
2026-02-12,-0.092,margina_holdea_t1,-16.45
2026-02-13,-0.319,margina_holdea_t1,-16.77
2026-02-14,-0.073,margina_holdea_t1,-16.84
2026-02-15,-0.001,margina_holdea_t1,-16.84
2026-02-16,-0.183,margina_holdea_t1,-17.02
2026-02-17,-0.238,margina_holdea_t1,-17.26
2026-02-18,-0.206,margina_holdea_t1,-17.47
2026-02-19,-0.308,margina_holdea_t1,-17.78
2026-02-20,-0.215,margina_holdea_t1,-17.99
2026-02-21,-0.076,margina_holdea_t1,-18.07
2026-02-22,-0.202,margina_holdea_t1,-18.27
2026-02-23,-0.083,margina_holdea_t1,-18.35
2026-02-24,-0.259,margina_holdea_t1,-18.61
2026-02-25,-0.227,margina_holdea_t1,-18.84
2026-02-26,-0.209,margina_holdea_t1,-19.05
2026-02-27,-0.233,margina_holdea_t1,-19.28
2026-02-28,-0.228,margina_holdea_t1,-19.51
2026-03-01,-0.105,margina_holdea_t1,-19.61
2026-03-02,-0.318,margina_holdea_t1,-19.93
2026-03-03,-0.175,margina_holdea_t1,-20.11
2026-03-04,-0.231,margina_holdea_t1,-20.34
2026-03-05,-0.224,margina_holdea_t1,-20.56
2026-03-06,-0.254,margina_holdea_t1,-20.82
2026-03-07,-0.206,margina_holdea_t1,-21.02
2026-03-08,-0.274,margina_holdea_t1,-21.3
2026-03-09,-0.088,margina_holdea_t1,-21.38
2026-03-10,-0.205,margina_holdea_t1,-21.59
2026-03-11,-0.201,margina_holdea_t1,-21.79
2026-03-12,-0.257,margina_holdea_t1,-22.05
2026-03-13,-0.269,margina_holdea_t1,-22.32
2026-03-14,-0.203,margina_holdea_t1,-22.52
2026-03-15,-0.214,margina_holdea_t1,-22.73
2026-03-16,-0.146,margina_holdea_t1,-22.88
2026-03-17,-0.43,margina_holdea_t1,-23.31
2026-03-18,-0.211,margina_holdea_t1,-23.52
2026-03-19,-0.241,margina_holdea_t1,-23.76
2026-03-20,-0.248,margina_holdea_t1,-24.01
2026-03-21,-0.172,margina_holdea_t1,-24.18
2026-03-22,-0.11,margina_holdea_t1,-24.29
2026-03-23,-0.304,margina_holdea_t1,-24.59
2026-03-24,-0.274,margina_holdea_t1,-24.87
2026-03-25,-0.109,margina_holdea_t1,-24.98
2026-03-26,-0.021,margina_holdea_t1,-25.0
2026-03-27,-0.078,margina_holdea_t1,-25.08
2026-03-28,-0.067,margina_holdea_t1,-25.14
2026-03-29,-0.133,margina_holdea_t1,-25.28
2026-03-30,-0.197,margina_holdea_t1,-25.47
2026-03-31,-0.101,margina_holdea_t1,-25.57
2026-04-01,-0.287,margina_holdea_t1,-25.86
2026-04-02,-0.201,margina_holdea_t1,-26.06
2026-04-03,-0.312,margina_holdea_t1,-26.37
2026-04-04,-0.189,margina_holdea_t1,-26.56
2026-04-05,-0.245,margina_holdea_t1,-26.81
2026-04-06,-0.185,margina_holdea_t1,-26.99
2026-04-07,-0.08,margina_holdea_t1,-27.07
2026-04-08,-0.241,margina_holdea_t1,-27.31
2026-04-09,-0.21,margina_holdea_t1,-27.52
2026-04-10,-0.159,margina_holdea_t1,-27.68
2026-04-11,-0.291,margina_holdea_t1,-27.97
2026-04-12,-0.267,margina_holdea_t1,-28.24
2026-04-13,-0.292,margina_holdea_t1,-28.53
2026-04-14,-0.388,margina_holdea_t1,-28.92
2026-04-15,-0.231,margina_holdea_t1,-29.15
2026-04-16,-0.191,margina_holdea_t1,-29.34
2026-04-17,-0.241,margina_holdea_t1,-29.58
2026-04-18,-0.196,margina_holdea_t1,-29.78
2026-04-19,-0.177,margina_holdea_t1,-29.96
2026-04-20,-0.175,margina_holdea_t1,-30.13
2026-04-21,-0.229,margina_holdea_t1,-30.36
2026-04-22,-0.16,margina_holdea_t1,-30.52
2026-04-23,-0.056,margina_holdea_t1,-30.58
2026-04-24,-0.322,margina_holdea_t1,-30.9
2026-04-25,-0.058,margina_holdea_t1,-30.96
2026-04-26,-0.285,margina_holdea_t1,-31.24
2026-04-27,-0.185,margina_holdea_t1,-31.43
2026-04-28,-0.119,margina_holdea_t1,-31.55
2026-04-29,-0.09,margina_holdea_t1,-31.64
2026-04-30,-0.315,margina_holdea_t1,-31.95
2026-05-01,-0.349,margina_holdea_t1,-32.3
2026-05-02,-0.258,margina_holdea_t1,-32.56
2026-05-03,-0.198,margina_holdea_t1,-32.76
2026-05-04,-0.155,margina_holdea_t1,-32.91
2026-05-05,-0.134,margina_holdea_t1,-33.05
2026-05-06,-0.192,margina_holdea_t1,-33.24
2026-05-07,-0.135,margina_holdea_t1,-33.37
2026-05-08,-0.124,margina_holdea_t1,-33.5
2026-05-09,-0.176,margina_holdea_t1,-33.67
2026-05-10,-0.223,margina_holdea_t1,-33.9
2026-05-11,-0.323,margina_holdea_t1,-34.22
2026-05-12,-0.206,margina_holdea_t1,-34.42
2026-05-13,-0.073,margina_holdea_t1,-34.5
2026-05-14,-0.146,margina_holdea_t1,-34.64
2026-05-15,-0.227,margina_holdea_t1,-34.87
