date,pgv_mm_per_s,site_id
2026-02-26,6.94,poiana_a1
2026-02-27,1.14,poiana_a1
2026-02-28,4.47,poiana_a1
2026-03-01,0.22,poiana_a1
2026-03-02,0.24,poiana_a1
2026-03-03,0.79,poiana_a1
2026-03-04,0.14,poiana_a1
2026-03-05,2.87,poiana_a1
2026-03-06,5.41,poiana_a1
2026-03-07,1.73,poiana_a1
2026-03-08,2.25,poiana_a1
2026-03-09,0.23,poiana_a1
2026-03-10,0.03,poiana_a1
2026-03-11,1.44,poiana_a1
2026-03-12,6.41,poiana_a1
2026-03-13,1.49,poiana_a1
2026-03-14,1.09,poiana_a1
2026-03-15,0.3,poiana_a1
2026-03-16,0.9,poiana_a1
2026-03-17,5.38,poiana_a1
2026-03-18,6.37,poiana_a1
2026-03-19,6.93,poiana_a1
2026-03-20,2.87,poiana_a1
2026-03-21,0.93,poiana_a1
2026-03-22,2.72,poiana_a1
2026-03-23,1.02,poiana_a1
2026-03-24,0.6,poiana_a1
2026-03-25,0.72,poiana_a1
2026-03-26,1.37,poiana_a1
2026-03-27,0.68,poiana_a1
2026-03-28,0.98,poiana_a1
2026-03-29,0.0,poiana_a1
2026-03-30,0.59,poiana_a1
2026-03-31,0.23,poiana_a1
2026-04-01,1.81,poiana_a1
2026-04-02,7.33,poiana_a1
2026-04-03,0.74,poiana_a1
2026-04-04,0.83,poiana_a1
2026-04-05,0.14,poiana_a1
2026-04-06,0.34,poiana_a1
2026-04-07,0.79,poiana_a1
2026-04-08,8.77,poiana_a1
2026-04-09,2.29,poiana_a1
2026-04-10,2.27,poiana_a1
2026-04-11,0.37,poiana_a1
2026-04-12,2.35,poiana_a1
2026-04-13,6.95,poiana_a1
2026-04-14,0.44,poiana_a1
2026-04-15,6.75,poiana_a1
2026-04-16,0.73,poiana_a1
2026-04-17,4.2,poiana_a1
2026-04-18,7.8,poiana_a1
2026-04-19,0.09,poiana_a1
2026-04-20,0.12,poiana_a1
2026-04-21,3.19,poiana_a1
2026-04-22,2.54,poiana_a1
2026-04-23,4.05,poiana_a1
2026-04-24,4.54,poiana_a1
2026-04-25,0.99,poiana_a1
2026-04-26,0.62,poiana_a1
2026-04-27,3.47,poiana_a1
2026-04-28,0.55,poiana_a1
2026-04-29,10.0,poiana_a1
2026-04-30,2.77,poiana_a1
2026-05-01,4.9,poiana_a1
2026-05-02,2.05,poiana_a1
2026-05-03,3.53,poiana_a1
2026-05-04,0.1,poiana_a1
2026-05-05,0.33,poiana_a1
2026-05-06,2.01,poiana_a1
2026-05-07,0.93,poiana_a1
2026-05-08,6.61,poiana_a1
2026-05-09,0.52,poiana_a1
2026-05-10,3.51,poiana_a1
2026-05-11,3.43,poiana_a1
2026-05-12,1.19,poiana_a1
2026-05-13,0.09,poiana_a1
2026-05-14,1.28,poiana_a1
2026-05-15,0.59,poiana_a1
